gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3923748477	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/234636745/original.jpg	https://www.inaturalist.org/photos/234636745					2022-10-03T06:57:27Z	ksharp		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	ksharp
3923535490	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/234641321/original.jpeg	https://www.inaturalist.org/photos/234641321					2022-10-02T19:43:09Z	Steve Daniels		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Steve Daniels
3923514020	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/233847942/original.jpg	https://www.inaturalist.org/photos/233847942					2022-09-29T15:03:59Z	LaMaureen		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	LaMaureen
3923514020	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/233847898/original.jpg	https://www.inaturalist.org/photos/233847898					2022-09-29T15:03:59Z	LaMaureen		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	LaMaureen
3923478573	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/234893346/original.jpeg	https://www.inaturalist.org/photos/234893346					2022-10-02T21:38:53Z	Jake		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Jake
3923472442	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/166164770/original.jpeg	https://www.inaturalist.org/photos/166164770					2021-10-03T00:00:00Z	Lee Hamilton		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Lee Hamilton
3923416083	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/233960890/original.jpg	https://www.inaturalist.org/photos/233960890					2022-09-30T13:10:24Z	sparkynature		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	sparkynature
3923361529	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/234697973/original.jpg	https://www.inaturalist.org/photos/234697973					2022-10-02T17:06:05Z	nen10		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	nen10
3923361529	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/234697953/original.jpg	https://www.inaturalist.org/photos/234697953					2022-10-02T17:06:05Z	nen10		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	nen10
3923361529	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/234698014/original.jpg	https://www.inaturalist.org/photos/234698014					2022-10-02T17:06:05Z	nen10		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	nen10
3922628748	StillImage	image/jpeg	https://svampe.databasen.org/uploads/2022-10305275_r1YGLqpfi.JPG							Morten Strandberg				Morten Strandberg
3922623485	StillImage	image/jpeg	https://svampe.databasen.org/uploads/2022-10302647_HyG8-Jqfs.JPG							Anna-Klara K. Kjeldgaard				Anna-Klara K. Kjeldgaard
3922623485	StillImage	image/jpeg	https://svampe.databasen.org/uploads/2022-10302647_rylM8ZycGs.JPG							Anna-Klara K. Kjeldgaard				Anna-Klara K. Kjeldgaard
3922623303	StillImage	image/jpeg	https://svampe.databasen.org/uploads/2021-10229368_SyxLVGJrF.JPG							Uffe Nygaard				Uffe Nygaard
3922623303	StillImage	image/jpeg	https://svampe.databasen.org/uploads/2021-10229368_BJ1UNMkrK.JPG							Uffe Nygaard				Uffe Nygaard
3922621597	StillImage	image/jpeg	https://svampe.databasen.org/uploads/2022-10303845_BymmyUjfj.JPG							Morten Strandberg				Morten Strandberg
3922621597	StillImage	image/jpeg	https://svampe.databasen.org/uploads/2022-10303845_HkEQ1Lszi.JPG							Morten Strandberg				Morten Strandberg
3915699360	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/233083152/original.jpg	https://www.inaturalist.org/photos/233083152					2022-09-26T11:39:45Z	caneshumdave		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	caneshumdave
3915612456	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/232779215/original.jpg	https://www.inaturalist.org/photos/232779215					2022-09-24T12:44:45Z	Niccolo Sala		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Niccolo Sala
3915569493	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/233376112/original.jpeg	https://www.inaturalist.org/photos/233376112					2022-09-26T22:38:10Z	Randall Willingham		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Randall Willingham
3915569493	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/233376079/original.jpeg	https://www.inaturalist.org/photos/233376079					2022-09-27T00:02:56Z	Randall Willingham		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Randall Willingham
3915526734	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/232825791/original.jpg	https://www.inaturalist.org/photos/232825791					2022-09-25T13:24:33Z	bossk		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	bossk
3915488446	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/166615266/original.jpg	https://www.inaturalist.org/photos/166615266					2021-10-31T12:03:06Z	neillemaire		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	neillemaire
3915488446	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/166615187/original.jpg	https://www.inaturalist.org/photos/166615187					2021-10-31T12:03:06Z	neillemaire		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	neillemaire
3915432793	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/231845964/original.jpeg	https://www.inaturalist.org/photos/231845964					2022-09-02T09:05:08Z	Andreas Berger		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Andreas Berger
3915428845	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/233229254/original.jpeg	https://www.inaturalist.org/photos/233229254					2022-09-09T00:08:53Z	Randall Willingham		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Randall Willingham
3915428845	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/233229426/original.jpeg	https://www.inaturalist.org/photos/233229426					2022-09-08T23:33:35Z	Randall Willingham		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Randall Willingham
3915428845	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/233229621/original.jpeg	https://www.inaturalist.org/photos/233229621					2022-09-08T22:36:18Z	Randall Willingham		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Randall Willingham
3915428845	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/233229079/original.jpeg	https://www.inaturalist.org/photos/233229079					2022-09-09T00:22:40Z	Randall Willingham		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Randall Willingham
3915428845	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/233229125/original.jpeg	https://www.inaturalist.org/photos/233229125					2022-09-09T00:12:00Z	Randall Willingham		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Randall Willingham
